,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_20
0,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,0,0.0,0.0,0.21863683559832048,0,1325.25,0,82.5,2,0.0,15.0,0,대구광역시,수성구,U,0.0,,2015,H
1,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,1,,,-0.24246702249217786,0,1057.75,0,82.5,1,0.0,15.0,0,대구광역시,수성구,U,0.0,,2015,H
2,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,2,,,-0.31419428930625537,0,976.75,0,82.5,1,0.0,15.0,0,대구광역시,수성구,U,0.0,,2015,H
3,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,3,,,-0.3961683085223439,0,904.0,0,82.5,1,0.0,15.0,0,대구광역시,수성구,U,0.0,,2015,H
4,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,4,,,-0.4576488229344105,0,821.5,0,82.5,1,0.0,15.0,0,대구광역시,수성구,U,0.0,,2015,H
5,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,5,,,-0.4781423277384325,0,788.75,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
6,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,6,,,-0.4986358325424547,0,732.75,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
7,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,7,,,-0.4986358325424547,0,710.0,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
8,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,8,,,-0.5191293373464768,0,666.75,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
9,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,9,,,-0.4986358325424547,0,652.0,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
10,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,10,,,-0.4781423277384325,0,651.75,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
11,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,11,,,-0.4576488229344105,0,654.0,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
12,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,12,,,-0.43715531813038827,0,663.0,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
13,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,13,,,-0.4474020705323993,0,654.75,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
14,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,14,,,-0.43715531813038827,0,659.0,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
15,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,15,,,-0.4474020705323993,0,650.75,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
16,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,16,,,-0.4474020705323993,0,654.75,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
17,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,17,,,-0.4474020705323993,0,648.25,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
18,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,18,,,-0.4678955753364215,0,637.75,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
19,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,19,,,-0.4474020705323993,0,644.5,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
20,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,20,,,-0.4678955753364215,0,638.5,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
21,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,21,,,-0.4474020705323993,0,649.25,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
22,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,22,,,-0.4678955753364215,0,642.0,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
23,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,23,,,-0.4781423277384325,0,641.25,0,83.25,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
24,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,24,,,-0.4883890801404436,0,633.75,0,84.0,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
25,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,25,,,-0.4883890801404436,0,627.75,0,84.0,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
26,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,26,,,-0.4781423277384325,0,639.5,0,84.0,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
27,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,27,,,-0.4986358325424547,0,628.25,0,84.0,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
28,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,28,,,-0.5088825849444658,0,620.25,0,84.0,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
29,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,29,,,-0.4986358325424547,0,624.0,0,84.0,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
30,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,30,0.0,0.0,-0.4986358325424547,0,629.5,0,84.0,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
31,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,31,,,-0.4986358325424547,0,630.75,0,84.75,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
32,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,32,,,-0.4986358325424547,0,625.5,0,84.75,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
33,c4ff97b04d087c97fd9bcee05672ade6,2016-04-24 19:56:57,33,,,-0.4986358325424547,0,634.75,0,84.75,1,0.0,14.9,0,대구광역시,수성구,U,0.0,,2015,H
